country,period,year,population,attendances_type1,breaches_4hr_type1,waits_12hr,pct_4hr_type1,attendances_per_100k,breaches_4hr_per_100k,waits_12hr_per_100k
Scotland,2023-07-01,2023,5506000,113044.0,34079.0,2707.0,69.85333144616256,2053.105702869597,618.942971304032,49.164547766073376
Scotland,2023-08-01,2023,5506000,118817.0,37730.0,3952.0,68.24528476564802,2157.954958227388,685.2524518706865,71.77624409734835
Scotland,2023-09-01,2023,5506000,115908.0,38440.0,4357.0,66.83576629740828,2105.121685434072,698.1474754812931,79.13185615691972
Scotland,2023-10-01,2023,5506000,113240.0,39487.0,5968.0,65.12981278700106,2056.6654558663276,717.1630948056666,108.39084634943698
Scotland,2023-11-01,2023,5506000,109225.0,39312.0,6129.0,64.00823987182423,1983.7450054486017,713.9847439157282,111.31492916818017
Scotland,2023-12-01,2023,5506000,110738.0,41109.0,6396.0,62.877241777890156,2011.2241191427534,746.6218670541227,116.16418452597168
Scotland,2024-01-01,2024,5546900,110688.0,41702.0,8643.0,62.32473258167101,1995.4929780598172,751.8073157980133,155.81676251599993
Scotland,2024-02-01,2024,5546900,108624.0,39011.0,6190.0,64.08620562674916,1958.2830049216677,703.2937316338856,111.59386323892625
Scotland,2024-03-01,2024,5546900,119741.0,42730.0,5877.0,64.31464577713565,2158.7012565577165,770.340190016045,105.95107176981737
Scotland,2024-04-01,2024,5546900,114152.0,40786.0,6628.0,64.27044642231411,2057.9422740629902,735.2935874091835,119.49016567812652
Scotland,2024-05-01,2024,5546900,127213.0,40594.0,5809.0,68.08973925620809,2293.4071283059006,731.8321945591231,104.72516180208765
Scotland,2024-06-01,2024,5546900,119764.0,40785.0,6027.0,65.94552620152967,2159.1159025762136,735.2755593214227,108.65528493392705
Scotland,2024-07-01,2024,5546900,116768.0,38759.0,5630.0,66.8068306385311,2105.103751645063,698.7506535181813,101.49813409291676
Scotland,2024-08-01,2024,5546900,118325.0,39523.0,5381.0,66.59792943165012,2133.1734842885216,712.5241125673799,97.00914024049469
Scotland,2024-09-01,2024,5546900,119272.0,39854.0,5436.0,66.58561942450869,2150.246083397934,718.4914096161821,98.00068506733491
Scotland,2024-10-01,2024,5546900,118243.0,42944.0,7365.0,63.68157100208891,2131.6951810921414,774.1982007968414,132.77686635778542
Scotland,2024-11-01,2024,5546900,115171.0,42067.0,6674.0,63.47431210981931,2076.3128954911754,758.3875678306802,120.31945771512015
Scotland,2024-12-01,2024,5546900,115415.0,46908.0,8454.0,59.35710262964087,2080.7117489047937,845.66154068038,152.40945392922174
Scotland,2025-01-01,2025,5549297,107654.0,40761.0,8641.0,62.13703160124101,1939.957439654068,734.5254723255937,155.71341739323017
Scotland,2025-02-01,2025,5549297,102100.0,37280.0,6072.0,63.48677766895201,1839.872690180396,671.7968059738017,109.41926517899475
Scotland,2025-03-01,2025,5549297,120285.0,40053.0,5375.0,66.70158373862077,2167.571856399108,721.7670995082801,96.8591156681648
Scotland,2025-04-01,2025,5549297,118031.0,38964.0,5139.0,66.98833357338326,2126.9540988705417,702.1429921663951,92.60632472906028
Scotland,2025-05-01,2025,5549297,125942.0,40336.0,4959.0,67.97255879690651,2269.5126968334907,726.8668445750876,89.36267062296359
Scotland,2025-06-01,2025,5549297,119428.0,39533.0,5195.0,66.89804735907828,2152.12845879397,712.3965432017785,93.61546156206813
Scotland,2025-07-01,2025,5549297,119196.0,38921.0,4686.0,67.3470586261284,2147.947749057223,701.3681192410498,84.44312856205029
Scotland,2025-08-01,2025,5549297,124425.0,43939.0,5554.0,64.68635724331926,2242.1759008393315,791.7939875987896,100.08474947367208
Scotland,2025-09-01,2025,5549297,120854.0,43882.0,6510.0,63.6900723186655,2177.8254074344914,790.7668304651924,117.31215683716334
Scotland,2025-10-01,2025,5549297,118328.0,44058.0,7462.0,62.76620918125888,2132.306128145601,793.9384033689313,134.4674829982969
Scotland,2025-11-01,2025,5549297,119041.0,44134.0,8226.0,62.925378651053,2145.154602465862,795.3079462137276,148.23499264861837
Scotland,2025-12-01,2025,5549297,113698.0,41585.0,7258.0,63.42503825924819,2048.872136416559,749.3742000112807,130.79134167805398
Scotland,2026-01-01,2026,5546779,115113.0,44719.0,10211.0,61.152085342228936,2075.3125372400814,806.21564334905,184.0888198358002
Scotland,2026-02-01,2026,5546779,105751.0,39748.0,8058.0,62.413594197690806,1906.5298978019496,716.5960641301916,145.2735001700987
Scotland,2026-03-01,2026,5546779,124239.0,45340.0,7551.0,63.505823453182984,2239.8404551542435,817.4113300710196,136.1330602859786
Scotland,2026-04-01,2026,5546779,120380.0,43104.0,6196.0,64.1933876059146,2170.268546844935,777.0996464795154,111.70446848522359
